train_loss,train_acc,val_loss,val_acc
0.0030097196056019693,1.0,0.4963931189643012,0.8777777777777778
0.002781218149521876,1.0,0.4993902603785197,0.8777777777777778
0.002318962383460963,1.0,0.497419806321462,0.8777777777777778
0.0020241274321008296,1.0,0.5027682489818996,0.8777777777777778
0.0019057102767484528,1.0,0.5107377330462138,0.8888888888888888
0.001660434671101116,1.0,0.5125720818837484,0.8777777777777778
0.001541013501065165,1.0,0.522853610250685,0.8777777777777778
0.001393405848648399,1.0,0.5264939798249139,0.8777777777777778
0.0013464484319445633,1.0,0.5310659223132663,0.9
0.0017478539139985862,1.0,0.5593616737259759,0.8777777777777778
0.0018197465909733659,1.0,0.5426043576664394,0.8888888888888888
0.0011936355204808602,1.0,0.5322433392206828,0.8888888888888888
0.0009545494591639865,1.0,0.5363200532065497,0.8888888888888888
0.0008672723461391538,1.0,0.544344945748647,0.8777777777777778
0.0008110834878780657,1.0,0.5493598845269945,0.8888888888888888
0.0007833956934822102,1.0,0.5527460257212321,0.8888888888888888
0.0007210293186030218,1.0,0.5568865299224853,0.8888888888888888
0.0007539367325426567,1.0,0.557284845246209,0.8888888888888888
0.0006960437671902279,1.0,0.5640245676040649,0.8888888888888888
0.0006818354720183249,1.0,0.5692236304283143,0.8777777777777778
